Date,Open,High,Low,Close,Adj Close,Volume
2020-12-14,31.469999,31.629999,30.879999,30.879999,30.604139,26750300
2020-12-15,30.879999,31.400000,30.879999,31.160000,30.881641,25053800
2020-12-16,31.240000,32.180000,31.020000,31.750000,31.466370,41207900
2020-12-17,31.889999,32.150002,31.570000,31.709999,31.426725,17861500
2020-12-18,31.719999,32.119999,31.510000,31.660000,31.377171,31714100
2020-12-21,31.049999,31.500000,30.910000,31.100000,30.822176,23462800
2020-12-22,31.170000,31.650000,31.150000,31.250000,30.970837,19659000
2020-12-23,31.320000,32.049999,31.270000,31.940001,31.654673,19959200
2020-12-28,32.220001,32.430000,32.009998,32.169998,31.882616,15444600
2020-12-29,32.270000,32.389999,31.930000,32.099998,31.813244,16384200
2020-12-30,32.200001,32.330002,31.629999,31.629999,31.347439,25644400
2021-01-04,31.980000,31.990000,30.840000,30.900000,30.638491,31347800
2021-01-05,30.730000,31.059999,30.170000,30.700001,30.440186,28249800
2021-01-06,30.980000,32.060001,30.790001,31.600000,31.332567,43061900
2021-01-07,31.650000,33.060001,31.500000,32.830002,32.552158,46129800
2021-01-08,32.930000,33.439999,32.430000,32.820000,32.542244,52532500
2021-01-11,32.470001,32.700001,31.719999,32.080002,31.808508,31564300
2021-01-12,32.180000,32.450001,32.020000,32.180000,31.907661,33089300
2021-01-13,32.180000,32.529999,31.260000,31.650000,31.382145,42722600
2021-01-14,32.020000,32.939999,31.670000,32.590000,32.314186,28222500
2021-01-15,32.049999,32.389999,31.350000,31.360001,31.094599,37757100
2021-01-18,31.660000,31.930000,31.139999,31.200001,30.935955,18922800
2021-01-19,31.490000,31.610001,30.549999,30.830000,30.569084,27206000
2021-01-20,31.049999,31.100000,30.110001,30.320000,30.063400,28992500
2021-01-21,30.320000,30.459999,29.650000,29.910000,29.656870,34671600
2021-01-22,29.250000,29.469999,28.980000,29.270000,29.022285,36801600
2021-01-26,28.990000,29.850000,28.139999,28.250000,28.059004,50992800
2021-01-27,28.110001,28.990000,27.860001,28.250000,28.059004,42970700
2021-01-28,28.290001,29.629999,28.230000,29.389999,29.191294,52028200
2021-01-29,29.219999,29.549999,28.290001,28.340000,28.148394,46309700
2021-02-01,29.000000,29.420000,28.740000,29.080000,28.898687,46368000
2021-02-02,29.080000,29.299999,28.000000,28.459999,28.282551,100327800
2021-02-03,28.760000,28.900000,28.209999,28.320000,28.143425,41438600
2021-02-04,28.530001,28.559999,27.879999,28.200001,28.024176,65454600
2021-02-05,28.309999,28.450001,27.889999,28.080000,27.904921,39293900
2021-02-08,28.000000,28.200001,27.510000,27.559999,27.388165,28937500
